Recall Number,Open Date,Class,Pounds Recalled,Product,Problem Type
088-2017,"Aug 5, 2017",II,115773,RTE ham products,Undeclared Allergen
089-2017,"Aug 7, 2017",I,1290,Raw intact and non-intact beef,E. coli
090-2017,"Aug 9, 2017",III,2133,Morrison Aussie Pies Steak and Mush,Undeclared Substance
091-2017,"Aug 9, 2017",I,3960,Beef patties,Undeclared Allergen
092-2017,"Aug 12, 2017",I,4805,Poultry entree's,Undeclared Allergen
093-2017,"Aug 15, 2017",II,1719,Chicken Caesar Salads,Undeclared Allergen
094-2017,"Aug 22, 2017",I,1134,Pork Sausage Patties,Listeria monocytogenes
095-2017,"Aug 23, 2017",I,20446,Fully cooked chicken skewer product,Listeria monocytogenes
096-2017,"Aug 25, 2017",II,3448,Chicken breakfast sausage produc,Undeclared Allergen
097-2017,"Aug 26, 2017",I,12169,Skinless frozen pork bellies,Other
098-2017,"Aug 26, 2017",I,15092,"Frozen beef, pork and chicken produ",Undeclared Allergen
099-2017,"Aug 30, 2017",I,32228,RTE Chicken Sausage Product,Undeclared Allergen
100-2017,"Sep 8, 2017",I,123,Italian Style Meatballs,Undeclared Allergen
101-2017,"Sep 15, 2017",I,63823,NRTE Pork Sausage Products,Undeclared Allergen
102-2017,"Sep 16, 2017",I,1252,NRTE smoked meat products,Processing Defect
103-2017,"Sep 29, 2017",I,0,Smoked Turkey Drumsticks,Undeclared Allergen
104-2017,"Oct 2, 2017",II,38475,Ground Turkey Products,Extraneous Material
105-2017,"Oct 3, 2017",II,1150,Raw chicken thigh products,Undeclared Allergen
106-2017,"Oct 4, 2017",I,700,Ground beef,E. coli
107-2017,"Oct 5, 2017",II,1222,RTE beef products,Undeclared Allergen
108-2017,"Oct 12, 2017",I,133,Ground beef,E. coli
109-2017,"Oct 12, 2017",II,12816,Shredded Beef,Extraneous Material
110-2017,"Oct 13, 2017",II,22630,Genoa Salami and Capocollo,Extraneous Material
111-2017,"Oct 17, 2017",I,8000,Chicken and Pork products,Undeclared Allergen
112-2017,"Oct 17, 2017",I,32136,RTE bagged soups,Extraneous Material
113-2017,"Oct 18, 2017",I,4225,Marinated scallops wrapped in bacon,Undeclared Allergen
114-2017,"Oct 20, 2017",I,701,Chicken products,Listeria monocytogenes
115-2017,"Oct 28, 2017",II,732,Taylor Farms American Style Pasta S,Undeclared Allergen
116-2017,"Nov 1, 2017",I,28064,Meat and Poultry Burrito and Wrap,Listeria monocytogenes
117-2017,"Nov 2, 2017",I,269,RTE meat and poultry products,Other
118-2017,"Nov 8, 2017",I,26000,Beef and Pork Hot pockets,Undeclared Allergen
119-2017,"Nov 9, 2017",I,10839,Raw chicken breast product,Extraneous Material
120-2017,"Nov 13, 2017",I,231,RTE meat and poultry products,Other
121-2017,"Nov 14, 2017",I,264,RTE Chicken with rice,Listeria monocytogenes
122-2017,"Nov 15, 2017",II,116,Beef Tongues,Other
123-2017,"Nov 16, 2017",I,297828,Chicken and pork products,Other
124-2017,"Nov 16, 2017",I,46,Chicken products,Undeclared Allergen
125-2017,"Nov 18, 2017",I,36854,RTE Chicken and Turkey Salads,Extraneous Material
126-2017,"Dec 1, 2017",I,46810,Beef meatballs,Undeclared Allergen
127-2017,"Dec 1, 2017",I,813,Rafedain Fully Cooked Chicken Patty,Undeclared Allergen
128-2017,"Dec 12, 2017",II,143,Genoa Salami,Extraneous Material
129-2017,"Dec 16, 2017",I,1076,Salami and Prosciutto,Salmonella
130-2017,"Dec 21, 2017",I,7570,Ground beef,Undeclared Allergen
131-2017,"Dec 26, 2017",I,4702,Boneless stew meat,Extraneous Material
