Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
May 15 2010,034-2010,I,Ground Beef Products,E. coli O157:H7,"53,000"
Jun 17 2010,035-2010,I,SpaghettiOs with Meatballs,Processing Defect,"15,000,000"
Jun 17 2010,036-2010,I,Cheesy Chicken And Rice Frozen Meals,Salmonella,"6,740,000"
Jun 22 2010,037-2010,I,Ground Beef Products,E. coli O157:H7,"3,700"
Jun 22 2010,038-2010,I,Ground Beef Products,E. coli O157:H7,"35,000"
Jun 24 2010,039-2010,II,Cooked Canned and Frozen Beef Products,Residue,"61,000"
Jun 25 2010,040-2010,II,BBQ Chicken Pizza Products,Extraneous Material,"109,800"
Jun 30 2010,041-2010,III,Beef Stroganoff with Noodles,Misbranding,600
Jun 30 2010,042-2010,I,Cervelat Summer Sausage,Undeclared Allergen,"9,408"
Jul 02 2010,043-2010,I,Ground and Tenderized Steak Bison Products,E. coli O157:H7,"66,776"
Jul 06 2010,044-2010,II,Beef Jerky Products,Undeclared Allergen,"8,000"
Jul 07 2010,045-2010,I,Fully Cooked Turkey Breast Products,Listeria monocytogenes,17
Jul 19 2010,046-2010,II,Frozen Chicken Nugget Products,Extraneous Material,"91,872"
Aug 03 2010,047-2010,I,Canned Meatball Products,Undeclared Allergen,"147,667"
Aug 06 2010,048-2010,I,Frozen Ground Beef Patties and Bulk Ground Beef Products,E. coli O157:H7,"1,000,000"
Aug 23 2010,049-2010,I,Deli Meat Products,Listeria monocytogenes,"380,000"
Aug 28 2010,050-2010,I,Ground Beef Products,E. coli O26*,"8,500"
Sep 01 2010,051-2010,I,Cooked Shredded Pork Skin Products,Other,"2,070"
Sep 13 2010,052-2010,III,Cooked Beef Products,Other,"258,000"
Sep 24 2010,053-2010,II,Cured Uncooked Pork Ginger Sausage,Undeclared Allergen,"29,893"
Oct 04 2010,054-2010,III,Spicy Vegetable Potstickers,Misbranding,"1,608"
Oct 20 2010,055-2010,I,RTE Pork Barbecue Products,Salmonella,"4,920"
Oct 22 2010,056-2010,II,Beef Stick Products,Extraneous Material,"2,740"
Oct 27 2010,057-2010,II,RTE Pork Products,Other,"54,000"
Nov 04 2010,058-2010,I,Canned Meat and Poultry Products,Processing Defect,"12,086"
Nov 05 2010,059-2010,I,RTE Chicken Pasta Salad Products,Salmonella,"7,325"
Nov 14 2010,060-2010,I,Fully Cooked RTE Smoked Turkey Breast Products,Listeria monocytogenes,"2,609"
Nov 23 2010,061-2010,I,Meat and Cheese Roll Appetizer Products,Listeria monocytogenes,57
Dec 02 2010,062-2010,I,Various Meat and Poultry Products,Other,Undetermined
Dec 03 2010,063-2010,I,Chicken Tamales,Undeclared Allergen,"41,670"
Dec 05 2010,064-2010,II,Canned Chicken Salad Products,Extraneous Material,"72,000"
Dec 08 2010,065-2010,II,Raw Pork Paste & RTE Fried Pork Loaf Products,Undeclared Allergen,"2,182"
Dec 10 2010,066-2010,I,Sautéed Chicken Products,Undeclared Allergen,"14,430"
Dec 17 2010,067-2010,II,Ground Beef Products,Other,"25,600"
Dec 29 2010,068-2010,II,Teriyaki Beef Jerky Products,Undeclared Allergen,"3,874"
Dec 30 2010,069-2010,I,Breaded Chicken Wing Products,Undeclared Allergen,"180,000"
Dec 30 2010,070-2010,I,Organic Ground Beef Products,E. coli O157:H7,"34,373"
