Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
May 24 2012,035-2012,II,"Frozen, Raw Chicken Breast Product",Undeclared Allergen,100
Jun 1 2012,036-2012,II,Raw and RTE Pork Roll Products,Undeclared Allergen,"13,200"
Jun 2 2012,037-2012,I,RTE Pork Product,Listeria monocytogenes,400
Jun 6 2012,038-2012,I,Meat Lasagna Products,Undeclared Allergen,"96,408"
Jun 11 2012,039-2012,III,Pork Dumpling Products,Undeclared Substance,"55,757"
Jun 13 2012,040-2012,I,Raw Stuffed Chicken Product,Undeclared Allergen,"3,534"
Jun 21 2012,041-2012,III,Ground Smoked Bacon Product,Extraneous Material,"1,350"
Jul 7 2012,042-2012,I,"Frozen, RTE Meat and Poultry Meatballs",Listeria monocytogenes,"324,770"
Jul 13 2012,043-2012,II,Corn Chowder Soup Products,Extraneous Material,"94,850"
Jul 19 2012,044-2012,I,"Frozen, RTE Meat and Poultry Meatballs",Listeria monocytogenes,"72,510"
Jul 22 2012,045-2012,I,Ground Beef Products,Salmonella,"29,339"
Jul 26 2012,046-2012,I,Chicken and Yam Pie Products,Undeclared Allergen,79
Jul 27 2012,047-2012,I,Barbeque Chicken Salads,Listeria monocytogenes,"5,610"
Jul 27 2012,048-2012,I,RTE Chipotle Chicken Wrap Products,Listeria monocytogenes,735
Jul 27 2012,049-2012,I,Sausage Products,Listeria monocytogenes,314
Jul 27 2012,050-2012,II,Canned Premium Chunk Chicken,Undeclared Allergen,"70,500"
Aug 1 2012,051-2012,I,Meat and Poultry Salad Products,Listeria monocytogenes,"13,600"
Aug 2 2012,052-2012,II,Frozen Bacon Cheeseburger Patties,Extraneous Material,"37,600"
Aug 5 2012,053-2012,I,RTE Meat and Poultry Products,Listeria monocytogenes,"15,880"
Aug 6 2012,054-2012,III,Chorizo Sausage,Undeclared Substance,"6,210"
Aug 14 2012,055-2012,I,Beef Products,E. coli O157:H7,"38,200"
Aug 15 2012,056-2012,II,Meat and Poultry Soup Products,Extraneous Material,"4,100"
Aug 15 2012,057-2012,II,Turkey Sausage with Cheddar Cheese Products,Extraneous Material,"48,000"
Aug 16 2012,058-2012,III,Frozen Boneless Rib-Shaped Patties with BBQ Sauce,Other,605
Aug 16 2012,059-2012,I,Grilled Chicken Caesar Salad Kits,Salmonella,"77,688"
Aug 30 2012,060-2012,III,Frozen Bratwurst Patties,Extraneous Material,"2,920"
Sep 14 2012,061-2012,II,Crunchy Chicken Strip Products,Extraneous Material,"2,250"
Sep 21 2012,062-2012,I,Bratwurst Sausage Products,Undeclared Allergen,"1,305"
Sep 28 2012,063-2012,I,Corn Dog Products,Undeclared Allergen,"16,576"
Oct 5 2012,064-2012,II,Chicken Quesadilla Product,Undeclared Allergen,"3,744"
Oct 10 2012,065-2012,I,Boneless Chicken Wyngz,Undeclared Allergen,"67,269"
Oct 15 2012,066-2012,I,Various Beef and Pork Products,Other,"8,200"
Oct 22 2012,067-2012,III,Maple Sausage Links and Patties,Undeclared Substance,"1,768,600"
Oct 22 2012,068-2012,I,Ground Beef Products,E. coli O157:H7,"2,310"
Oct 22 2012,069-2012,I,Ground Beef Products,E. coli O157:H7,"4,100"
Oct 30 2012,070-2012,II,Frozen Chicken Enchilada Products,Extraneous Material,"11,400"
Nov 1 2012,071-2012,I,Chicken Breast Nugget Products,Undeclared Allergen,"1,440"
Nov 2 2012,072-2012,II,"Frozen, Fully Cooked Chicken Products",Extraneous Material,"28,528"
Nov 9 2012,073-2012,II,Beef Tongue Products,Other,99
Nov 13 2012,074-2012,I,Bourbon Barbecue Sausage Products,Processing Defect,"90,975"
Nov 20 2012,075-2012,III,Kielbasa Products,Extraneous Material,"16,100"
Nov 21 2012,076-2012,III,Chicken Empanadas,Undeclared Substance,"1,331"
Nov 29 2012,077-2012,III,Jalapeño Vienna Sausage Products,Undeclared Substance,271
Dec 4 2012,078-2012,I,RTE Beef and Cheese Pie Products,Other,"2,375"
Dec 6 2012,079-2012,II,Breaded Chicken Products,Extraneous Material,"35,800"
Dec 14 2012,080-2012,I,Mortadella,Undeclared Allergen,"2,650"
Dec 21 2012,081-2012,I,Pigs in the Blanket Products,Undeclared Allergen,"6,039"
Dec 21 2012,082-2012,I,Frozen Honey BBQ Chicken Wing Products,Undeclared Allergen,"2,320"
