Recall Number,Open Date,Class,Pounds Recalled,Product,Problem Type
111-2016,22-Nov-16,1,"5,022",Pork Homestyle Gravy,Undeclared Allergen
112-2016,22-Nov-16,2,"191,695",RTE Roasted Chicken Quarters,Undeclared Allergen
113-2016,22-Nov-16,1,455,Chicken Chili Soup,Listeria monocytogenes
114-2016,23-Nov-16,1,305,Meatballs,Undeclared Allergen
115-2016,23-Nov-16,1,"1,993,528",Various RTE Chicken Products,Processing Defect
116-2016,8-Dec-16,1,79,Meatloaf,Undeclared Allergen
117-2016,12-Dec-16,3,"50,991",Raw Beef Products,Other
118-2016,15-Dec-16,1,"23,040",Breaded veal products,Undeclared Allergen
119-2016,21-Dec-16,2,"23,544",Beef and Cheese Tortilla Products,Extraneous Material
120-2016,22-Dec-16,1,"7,629",Pork Skin Products,Salmonella
121-2016,22-Dec-16,1,"4,607",Boneless Veal,E. coli
122-2016,24-Dec-16,1,"25,332",Poultry and Rice Entrees,Undeclared Allergen
